customer_id,cat_value_tier,cash_turnover,gaussian_metric,conversion_metric
6865690,ETV2,53.333332,102.3404088209975,0
9679211,ETV2,12.666667,105.83945478179247,0
2176489,ETV4,23.37143,99.73283252957643,0
5419802,ETV2,23.133333,80.36835141634589,0
8834327,ETV1,0.2,112.4246841155137,0
1149115,ETV2,39.56,118.17513143593877,0
4400481,ETV4,227.87909,103.91056248476623,0
5437871,PUM,115.62727,94.61552919229378,0
8778769,ETV3,41.25,105.64701989632061,1
5378147,PUM,912.2,112.40533314727935,0
6458669,ETV1,35.636086,111.78833991873663,1
9362052,ETV1,44.9,99.66363866047789,0
530568,ETV2,10.55,95.46289640159773,0
3338011,ETV1,150.0,108.97224036366134,0
8702459,ETV1,10.0,102.04266221586285,0
9769952,ETV1,11.086159,108.0768581600882,0
2503975,ETV1,299.8,98.27564524644005,0
9381359,ETV1,115.88295,81.34339502087083,1
2272444,ETV1,122.86364,109.15304024632988,0
990655,PUM,184.99657,107.38503368637018,0
2138898,ETV1,0.0,99.54007159855412,0
9195551,ETV1,25.17766,96.61608142820093,0
5121520,ETV4,10.0,83.81215642134845,0
4531959,ETV1,42.5,91.79207378759214,0
3548458,ETV2,20.0,106.79878968659288,0
9061873,ETV2,11.0,98.24265896034723,1
7565734,ETV3,11.833333,117.90742131215309,0
4561686,ETV1,9.60008,97.34655963545178,0
8047734,ETV2,8.0,98.32860767640685,0
667296,ETV1,15.642233,96.63906434365629,1
9361953,ETV1,4.999875,96.00257464776239,0
3984732,PUM,58.476856,106.25445444677406,1
1580634,ETV1,423.15558,110.33664679750544,0
7542041,ETV2,29.751104,99.35184058736517,0
2584006,ETV1,86.207306,112.05464606093346,1
7587586,ETV2,7.071429,74.24879654010988,0
5395512,ETV2,50.5,110.17891543491886,0
7354045,ETV2,40.336,99.00817214986006,0
4903861,ETV2,8.068912,100.64003662069156,0
796253,ETV2,15.0,103.39902291175467,0
1466530,ETV2,4.0,99.05872306169599,0
1829042,ETV1,43.79721,94.49166497102685,0
4269520,ETV1,0.0,88.9063540897836,0
9105333,ETV2,5.9933834,101.07605970917548,0
9277779,ETV3,25.0,87.3392566264345,0
2877273,ETV3,13.75,94.02513518179377,0
4455540,ETV1,15.3947315,92.08485084413395,1
4220119,ETV2,16.88889,101.67148084301813,0
8347310,ETV1,22.8333,102.83175112534916,1
7448327,ETV2,12.0,103.99172298158982,0
1084983,ETV1,0.16,100.74610198328294,0
4381580,ETV2,5.0,115.7264332410532,0
4182593,ETV1,20.84153,77.90951320104337,0
1500832,PM,414.65912,108.21699870090964,0
631839,ETV1,14.0,92.76876316229823,0
6669144,ETV1,230.0,103.88182623106539,1
4098951,ETV1,20.0,88.36958794674445,1
3103464,ETV1,1.2444222,93.33354561200669,0
5073251,ETV1,45.87,94.66041704245626,1
2368593,ETV2,7.0,92.6311403275918,1
4063730,ETV2,10.0,99.6895237852381,1
